"requirement_id","top_level_requirement","section_id","section_title","requirement_text","testing_procedures","customized_approach_objective","applicability_notes","purpose","good_practice","examples","definitions","further_information"
"8.3.8","8","8.3","","Authentication policies and procedures are

documented and communicated to all users including: • Guidance on selecting strong authentication factors. • Guidance for how users should protect their authentication factors. • Instructions not to reuse previously used passwords/passphrases. • Instructions to change passwords/passphrases if there is any suspicion or knowledge that the password/passphrases have been compromised and how to report the incident.","Examine procedures and interview
8.3.8.a personnel to verify that authentication policies and procedures are distributed to all users.
Review authentication policies and
8.3.8.b procedures that are distributed to users and verify they include the elements specified in this requirement.
Interview users to verify that they are
8.3.8.c familiar with authentication policies and procedures.","Users are knowledgeable about the correct use of authentication factors and can access assistance and guidance when required.","","Communicating authentication policies and procedures to all users helps them to understand and abide by the policies.","Guidance on selecting strong passwords may include suggestions to help personnel select hard-to-guess passwords that do not contain dictionary words or information about the user, such as the user ID, names of family members, date of birth, etc.
Guidance for protecting authentication factors may include not writing down passwords or not saving them in insecure files, and being alert to malicious individuals who may try to exploit their passwords
(for example, by calling an employee and asking for their password so the caller can
""troubleshoot a problem"").
Alternatively, entities can implement processes to confirm passwords meet password policy, for example, by comparing password choices to a list of unacceptable passwords and having users choose a new password for any that match with one on the list. Instructing users to change passwords if there is a chance the password is no longer secure can prevent malicious users from using a legitimate password to gain unauthorized access.","","",""
"8.3.9","8","8.3","","If passwords/passphrases are used as the

only authentication factor for user access (i.e., in any single-factor authentication implementation)
then either: • Passwords/passphrases are changed at least once every 90 days,
OR • The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly.","If passwords/passphrases are used as the

only authentication factor for user access, inspect system configuration settings to verify that passwords/passphrases are managed in accordance with ONE of the elements specified in this requirement.","An undetected compromised password/passphrase cannot be used indefinitely.","This requirement applies to in-scope system components that are not in the CDE because these components are not subject to MFA requirements.
This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals).
This requirement does not apply to service providers' customer accounts but does apply to accounts for service provider personnel.","Access to in-scope system components that are not in the CDE may be provided using a single authentication factor, such as a password/passphrase, token device or smart card, or biometric attribute. Where passwords/passphrases are employed as the only authentication factor for such access, additional controls are required to protect the integrity of the password/passphrase.","Passwords/passphrases that are valid for a long time without a change provide malicious individuals with more time to break the password/phrase. Periodically changing passwords offers less time for a malicious individual to crack a password/passphrase and less time to use a compromised password.
Using a password/passphrase as the only authentication factor provides a single point of failure if compromised. Therefore, in these implementations, controls are needed to minimize how long malicious activity could occur via a compromised password/passphrase.
Dynamically analyzing an account's security posture is another option that allows for more rapid detection and response to address potentially compromised credentials. Such analysis takes a number of data points, which may include device integrity, location, access times, and the resources accessed to determine in real time whether an account can be granted access to a requested resource. In this way, access can be denied and accounts blocked if it is suspected that authentication credentials have been compromised.
(continued on next page)","","",""
"8.3.10","8","8.3","","Additional requirement for service
If passwords/passphrases are providers only:
used as the only authentication factor for customer user access to cardholder data (i.e., in any single factor authentication implementation), then guidance is provided to customer users including: • Guidance for customers to change their user passwords/passphrases periodically. • Guidance as to when, and under what circumstances, passwords/passphrases are to be changed.","Additional testing procedure for service
If provider assessments only:
passwords/passphrases are used as the only authentication factor for customer user access to cardholder data, examine guidance provided to customer users to verify that the guidance includes all elements specified in this requirement.","Passwords/passphrases for service providers' customers cannot be used indefinitely.","This requirement applies only when the entity being assessed is a service provider.
This requirement does not apply to accounts of consumer users accessing their own payment card information.
This requirement for service providers will be superseded by Requirement 8.3.10.1 once 8.3.10.1 becomes effective.","Using a password/passphrase as the only authentication factor provides a single point of failure if compromised. Therefore, in these implementations, controls are needed to minimize how long malicious activity could occur via a compromised password/passphrase.","Passwords/passphrases that are valid for a long time without a change provide malicious individuals with more time to break the password/phrase. Periodically changing passwords offers less time for a malicious individual to crack a password/passphrase and less time to use a compromised password.","","",""
"8.3.10.1","8","8.3",".10.1 Additional requirement for service If passwords/passphrases are providers only: used as the only authentication factor for customer user access (i.e., in any single-factor authentication implementation) then either: • Passwords/passphrases are changed at least once every 90 days, OR • The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly.","Additional requirement for service
If passwords/passphrases are providers only:
used as the only authentication factor for customer user access (i.e., in any single-factor authentication implementation) then either: • Passwords/passphrases are changed at least once every 90 days,
OR • The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly.","Additional testing procedure for
If service provider assessments only:
passwords/passphrases are used as the only authentication factor for customer user access, inspect system configuration settings to verify that passwords/passphrases are managed in accordance with ONE of the elements specified in this requirement.","Passwords/passphrases for service providers' customers cannot be used indefinitely.","This requirement applies only when the entity being assessed is a service provider.
This requirement does not apply to accounts of consumer users accessing their own payment card information.
This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.
Until this requirement is effective on 31 March 2025, service providers may meet either
Requirement
8.3.10 or 8.3.10.1.","Using a password/passphrase as the only authentication factor provides a single point of failure if compromised. Therefore, in these implementations, controls are needed to minimize how long malicious activity could occur via a compromised password/passphrase.","Passwords/passphrases that are valid for a long time without a change provide malicious individuals with more time to break the password/phrase. Periodically changing passwords offers less time for a malicious individual to crack a password/passphrase and less time to use a compromised password.
Dynamically analyzing an account's security posture is another option that allows for more rapid detection and response to address potentially compromised credentials. Such analysis takes a number of data points which may include device integrity, location, access times, and the resources accessed to determine in real time whether an account can be granted access to a requested resource. In this way, access can be denied and accounts blocked if it is suspected that account credentials have been compromised.","","","For information about using dynamic analysis to manage user access to resources, refer to
NIST
SP 800-207 Zero Trust Architecture."
"8.3.11","8","8.3","","Where authentication factors such as

physical or logical security tokens, smart cards, or certificates are used: • Factors are assigned to an individual user and not shared among multiple users. • Physical and/or logical controls ensure only the intended user can use that factor to gain access.","Examine authentication policies and
8.3.11.a procedures to verify that procedures for using authentication factors such as physical security tokens, smart cards, and certificates are defined and include all elements specified in this requirement.
8.3.11.b
Interview security personnel to verify authentication factors are assigned to an individual user and not shared among multiple users.
8.3.11.c
Examine system configuration settings and/or observe physical controls, as applicable, to verify that controls are implemented to ensure only the intended user can use that factor to gain access.","An authentication factor cannot be used by anyone other than the user to which it is assigned.","","If multiple users can use authentication factors such as tokens, smart cards, and certificates, it may be impossible to identify the individual using the authentication mechanism.
Good
Practice
Having physical and/or logical controls (for example, a PIN, biometric data, or a password) to uniquely authenticate the user of the account will prevent unauthorized users from gaining access to the user account through use of a shared authentication factor.","","","",""
"8.4.1","8","8.4","Multi-factor authentication","MFA is implemented for all non-console access into the CDE for personnel with administrative access.","8.4.1.a
Examine network and/or system configurations to verify MFA is required for all non console into the CDE for personnel with administrative access.
Observe administrator personnel logging
8.4.1.b into the CDE and verify that MFA is required.","Administrative access to the CDE cannot be obtained by the use of a single authentication factor.","The requirement for MFA for non-console administrative access applies to all personnel with elevated or increased privileges accessing the CDE via a non-console connection—that is, via logical access occurring over a network interface rather than via a direct, physical connection.
MFA is considered a best practice for non-console administrative access to in-scope system components that are not part of the CDE.","Requiring more than one type of authentication factor reduces the probability that an attacker can gain access to a system by masquerading as a legitimate user, because the attacker would need to compromise multiple authentication factors.
This is especially true in environments where traditionally the single authentication factor employed was something a user knows such as a password or passphrase.","","","Using one factor twice (for example, using two separate passwords) is not considered multi factor authentication.",""
"8.4.2","8","8.4","","MFA is implemented for all access into the

CDE.","Examine network and/or system
8.4.2.a configurations to verify MFA is implemented for all access into the CDE.
8.4.2.b
Observe personnel logging in to the CDE and examine evidence to verify that MFA is required.","Access into the CDE cannot be obtained by the use of a single authentication factor.","This requirement does not apply to: • Application or system accounts performing automated functions. • User accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals).
MFA is required for both types of access specified in
Requirements 8.4.2 and 8.4.3.
Therefore, applying
MFA to one type of access does not replace the need to apply another instance of MFA to the other type of access. If an individual first connects to the entity's network via remote access, and then later initiates a connection into the CDE from within the network, per this requirement the individual would authenticate using MFA twice, once when connecting via remote access to the entity's network and once when connecting via non-console administrative access from the entity's network into the CDE.
(continued on next page)","Requiring more than one type of authentication factor reduces the probability that an attacker can gain access to a system by masquerading as a legitimate user, because the attacker would need to compromise multiple authentication factors.
This is especially true in environments where traditionally the single authentication factor employed was something a user knows such as a password or passphrase.","","","Using one factor twice (for example, using two separate passwords) is not considered multi factor authentication.",""
"8.4.3","8","8.4","","MFA is implemented for all remote network

access originating from outside the entity's network that could access or impact the CDE as follows: • All remote access by all personnel, both users and administrators, originating from outside the entity's network. • All remote access by third parties and vendors.","Examine network and/or system
8.4.3.a configurations for remote access servers and systems to verify MFA is required in accordance with all elements specified in this requirement.
8.4.3.b
Observe personnel (for example, users and administrators) connecting remotely to the network and verify that multi-factor authentication is required.","Remote access to the entity's network cannot be obtained by using a single authentication factor.","The requirement for MFA for remote access originating from outside the entity's network applies to all user accounts that can access the network remotely, where that remote access leads to or could lead to access into the CDE.
If remote access is to a part of the entity's network that is properly segmented from the CDE, such that remote users cannot access or impact the CDE,
MFA for remote access to that part of the network is not required. However, MFA is required for any remote access to networks with access to the CDE and is recommended for all remote access to the entity's networks.
The MFA requirements apply for all types of system components, including cloud, hosted systems, and on-premises applications, network security devices, workstations, servers, and endpoints, and includes access directly to an entity's networks or systems as well as web-based access to an application or function.","Requiring more than one type of authentication factor reduces the probability that an attacker can gain access to a system by masquerading as a legitimate user, because the attacker would need to compromise multiple authentication factors.
This is especially true in environments where traditionally the single authentication factor employed was something a user knows, such as a password or passphrase.","","","Multi-factor authentication
(MFA) requires an individual to present a minimum of two of the three authentication factors specified in
Requirement 8.3.1 before access is granted.
Using one factor twice (for example, using two separate passwords) is not considered multi factor authentication.",""
"8.5.1","8","8.5","","MFA systems are implemented as follows: • The MFA system is not susceptible to replay attacks. • MFA systems cannot be bypassed by any users, including administrative users unless specifically documented, and authorized by management on an exception basis, for a limited time period. • At least two different types of authentication factors are used. • Success of all authentication factors is required before access is granted.","8.5.1.a
Examine vendor system documentation to verify that the MFA system is not susceptible to replay attacks.
8.5.1.b
Examine system configurations for the
MFA implementation to verify it is configured in accordance with all elements specified in this requirement.
Interview responsible personnel and
8.5.1.c observe processes to verify that any requests to bypass MFA are specifically documented and authorized by management on an exception basis, for a limited time period.
Observe personnel logging into system
8.5.1.d components in the CDE to verify that access is granted only after all authentication factors are successful.
Observe personnel connecting remotely
8.5.1.e from outside the entity's network to verify that","MFA systems are resistant to attack and strictly control any administrative overrides.","This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Poorly configured MFA systems can be bypassed by attackers. This requirement therefore addresses configuration of MFA system(s) that provide MFA for users accessing system components in the CDE.","","","Using one type of factor twice (for example, using two separate passwords) is not considered multi factor authentication.","For more information about MFA systems and features, refer to the following:
PCI SSC's Information Supplement: Multi-Factor
Authentication
PCI SSC's Frequently Asked Questions (FAQs)
on this topic.
access is granted only after all authentication factors are successful."
"8.6.1","8","8.6","Use of application and system accounts","If accounts used by systems or applications

can be used for interactive login, they are managed as follows: • Interactive use is prevented unless needed for an exceptional circumstance. • Interactive use is limited to the time needed for the exceptional circumstance. • Business justification for interactive use is documented. • Interactive use is explicitly approved by management. • Individual user identity is confirmed before access to account is granted. • Every action taken is attributable to an individual user.","Examine application and system accounts

that can be used interactively and interview administrative personnel to verify that application and system accounts are managed in accordance with all elements specified in this requirement.","When used interactively, all actions with accounts designated as system or application accounts are authorized and attributable to an individual person.","This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Like individual user accounts, system and application accounts require accountability and strict management to ensure they are used only for the intended purpose and are not misused.
Attackers often compromise system or application accounts to gain access to cardholder data.","Where possible, configure system and application accounts to disallow interactive login to prevent unauthorized individuals from logging in and using the account with its associated system privileges, and to limit the machines and devices on which the account can be used.","","System or application accounts are those accounts that execute processes or perform tasks on a computer system or application and are not typically accounts that an individual logs into.
These accounts usually have elevated privileges that are required to perform specialized tasks or functions.
Interactive login is the ability for a person to log into a system or application account in the same manner as a normal user account. Using system and application accounts this way means there is no accountability and traceability of actions taken by the user.",""
"8.6.2","8","8.6",".2 Passwords/passphrases for any application and system accounts that can be used for interactive login are not hard coded in scripts, configuration/property files, or bespoke and custom source code.","Passwords/passphrases for any application and system accounts that can be used for interactive login are not hard coded in scripts, configuration/property files, or bespoke and custom source code.","8.6.2.a
Interview personnel and examine system development procedures to verify that processes are defined for application and system accounts that can be used for interactive login, specifying that passwords/passphrases are not hard coded in scripts, configuration/property files, or bespoke and custom source code.","Passwords/passphrases used by application and system accounts cannot be used by unauthorized personnel.","Stored passwords/passphrases are required to be encrypted in accordance with PCI DSS
Requirement 8.3.2.
This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Not properly protecting passwords/passphrases used by application and system accounts, especially if those accounts can be used for interactive login, increases the risk and success of unauthorized use of those privileged accounts.","Changing these values due to suspected or confirmed disclosure can be particularly difficult to implement.
Tools can facilitate both management and security of authentication factors for application and system accounts. For example, consider password vaults or other system-managed controls.
Examine scripts, configuration/property
8.6.2.b files, and bespoke and custom source code for application and system accounts that can be used for interactive login, to verify passwords/passphrases for those accounts are not present.","","",""
"8.6.3","8","8.6","","Passwords/passphrases for any application

and system accounts are protected against misuse as follows: • Passwords/passphrases are changed periodically (at the frequency defined in the entity's targeted risk analysis, which is performed according to all elements specified in
Requirement 12.3.1) and upon suspicion or confirmation of compromise. • Passwords/passphrases are constructed with sufficient complexity appropriate for how frequently the entity changes the passwords/passphrases.","Examine policies and procedures to verify
8.6.3.a that procedures are defined to protect passwords/passphrases for application or system accounts against misuse in accordance with all elements specified in this requirement.
Examine the entity's targeted risk analysis
8.6.3.b for the change frequency and complexity for passwords/passphrases used for interactive login to application and system accounts to verify the risk analysis was performed in accordance with all elements specified in Requirement 12.3.1 and addresses: • The frequency defined for periodic changes to application and system passwords/passphrases. • The complexity defined for passwords/passphrases and appropriateness of the complexity relative to the frequency of changes.
Interview responsible personnel and
8.6.3.c examine system configuration settings to verify that passwords/passphrases for any application and system accounts that can be used for interactive login are protected against misuse in accordance with all elements specified in this requirement.","Passwords/passphrases used by application and system accounts cannot be used indefinitely and are structured to resist brute-force and guessing attacks.","This requirement is a best practice until 31 March
2025, after which it will be required and must be fully considered during a PCI DSS assessment.","Systems and application accounts pose more inherent security risk than user accounts because they often run in an elevated security context, with access to systems that may not be typically granted to user accounts, such as programmatic access to databases, etc. As a result, special consideration must be made to protect passwords/passphrases used for application and system accounts.","Entities should consider the following risk factors when determining how to protect application and system passwords/passphrases against misuse: • How securely the passwords/passphrases are stored (for example, whether they are stored in a password vault). • Staff turnover. • The number of people with access to the authentication factor. • Whether the account can be used for interactive login. • Whether the security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly (see Requirement 8.3.9).
All these elements affect the level of risk for application and system accounts and might impact the security of systems accessed by the system and application accounts.
(continued on next page)","","",""
"9.1.1","9","9.1","","All security policies and operational

procedures that are identified in Requirement 9 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.","Examine documentation and interview

personnel to verify that security policies and operational procedures identified in Requirement 9 are managed in accordance with all elements specified in this requirement.
equally important","Expectations, controls, and oversight for meeting activities within Requirement 9 are defined and adhered to by affected personnel. All supporting activities are repeatable, consistently applied, and conform to management's intent.","","Requirement 9.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 9.
While it is important to define the specific policies or procedures called out in Requirement 9, it is to ensure they are properly documented, maintained, and disseminated.","It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For this reason, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.","","Security policies define the entity's security objectives and principles. Operational procedures describe how to perform activities, and define the controls, methods, and processes that are followed to achieve the desired result in a consistent manner and in accordance with policy objectives.
Policies and procedures, including updates, are actively communicated to all affected personnel, and are supported by operating procedures describing how to perform activities.",""
"9.1.2","9","9.1","","Roles and responsibilities for performing

activities in Requirement 9 are documented, assigned, and understood.","Examine documentation to verify that
9.1.2.a descriptions of roles and responsibilities for performing activities in Requirement 9 are documented and assigned.
9.1.2.b
Interview personnel with responsibility for performing activities in Requirement 9 to verify that roles and responsibilities are assigned as documented and are understood.","Day-to-day responsibilities for performing all the activities in Requirement 9 are allocated. Personnel are accountable for successful, continuous operation of these requirements.","","If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities, and critical activities may not occur.","Roles and responsibilities may be documented within policies and procedures or maintained within separate documents.
As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.
A method to document roles and responsibilities is a responsibility assignment matrix that includes who is responsible, accountable, consulted, and informed (also called a RACI matrix).","","",""
"9.2.1","9","9.2","","Appropriate facility entry controls are in place

to restrict physical access to systems in the CDE.","Observe entry controls and interview

responsible personnel to verify that physical security controls are in place to restrict access to systems in the CDE.","System components in the CDE cannot be physically accessed by unauthorized personnel.","","Without physical access controls, unauthorized persons could potentially gain access to the CDE and sensitive information, or could alter system configurations, introduce vulnerabilities into the network, or destroy or steal equipment. Therefore, the purpose of this requirement is that physical access to the CDE is controlled via physical security controls such as badge readers or other mechanisms such as lock and key.","Whichever mechanism meets this requirement, it must be sufficient for the organization to verify that only authorized personnel are granted access.","Facility entry controls include physical security controls at each computer room, data center, and other physical areas with systems in the CDE. It can also include badge readers or other devices that manage physical access controls, such as lock and key with a current list of all individuals holding the keys.","",""
"9.2.1.1","9","9.2",".1.1 Individual physical access to sensitive areas within the CDE is monitored with either video cameras or physical access control mechanisms (or both) as follows: • Entry and exit points to/from sensitive areas","Individual physical access to sensitive areas within the CDE is monitored with either video cameras or physical access control mechanisms (or both) as follows: • Entry and exit points to/from sensitive areas within the CDE are monitored. • Monitoring devices or mechanisms are protected from tampering or disabling. • Collected data is reviewed and correlated with other entries. • Collected data is stored for at least three months, unless otherwise restricted by law.","9.2.1.1.a
Observe locations where individual physical access to sensitive areas within the CDE occurs to verify that either video cameras or physical access control mechanisms (or both) are in place to monitor the entry and exit points.
Observe locations where individual
9.2.1.1.b physical access to sensitive areas within the CDE occurs to verify that either video cameras or physical access control mechanisms (or both) are protected from tampering or disabling. • Collected data from video cameras and/or physical access control mechanisms is reviewed and correlated with other entries. • Collected data is stored for at least three months.","Trusted, verifiable records are maintained of individual physical entry to, and exit from, sensitive areas.","","Maintaining details of individuals entering and exiting the sensitive areas can help with investigations of physical breaches by identifying individuals that physically accessed the sensitive areas, as well as when they entered and exited.","Whichever mechanism meets this requirement, it should effectively monitor all entry and exit points to sensitive areas.
Criminals attempting to gain physical access to sensitive areas will often try to disable or bypass the monitoring controls. To protect these controls from tampering, video cameras could be positioned so they are out of reach and/or be monitored to detect tampering. Similarly, physical
9.2.1.1.c
Observe the physical access control mechanisms and/or examine video cameras and interview responsible personnel to verify that:
access control mechanisms could be monitored or have physical protections installed to prevent them from being damaged or disabled by malicious individuals.","","",""
"9.2.2","9","9.2","","Physical and/or logical controls are

implemented to restrict use of publicly accessible network jacks within the facility.","Interview responsible personnel and observe

locations of publicly accessible network jacks to verify that physical and/or logical controls are in place to restrict access to publicly accessible network jacks within the facility.
Defined Approach Testing Procedures
Interview responsible personnel and observe
9.2.3 locations of hardware and lines to verify that physical access to wireless access points, gateways, networking/communications hardware, and telecommunication lines within the facility is restricted.","Physical networking equipment cannot be accessed by unauthorized personnel.","","Restricting access to network jacks (or network ports) will prevent malicious individuals from plugging into readily available network jacks and gaining access to the CDE or systems connected to the CDE.","Whether logical or physical controls, or a combination of both, are used, they should prevent an individual or device that is not explicitly authorized from being able to connect to the network.","Methods to meet this requirement include network jacks located in public areas and areas accessible to visitors could be disabled and only enabled when network access is explicitly authorized.
Alternatively, processes could be implemented to ensure that visitors are escorted at all times in areas with active network jacks.
Purpose
Without appropriate physical security over access to wireless components and devices, and computer networking and telecommunications equipment and lines, malicious users could gain access to the entity's network resources.
Additionally, they could connect their own devices to the network to gain unauthorized access to the
CDE or systems connected to the CDE.
Additionally, securing networking and communications hardware prevents malicious users from intercepting network traffic or physically connecting their own devices to wired network resources.","",""
"9.2.4","9","9.2","","Access to consoles in sensitive areas is

restricted via locking when not in use.","Observe a system administrator's attempt to

log into consoles in sensitive areas and verify that they are ""locked"" to prevent unauthorized use.
Defined Approach Testing Procedures
9.3.1.a
Examine documented procedures to verify that procedures to authorize and manage physical access of personnel to the CDE are defined in accordance with all elements specified in this requirement.
Observe identification methods, such as ID
9.3.1.b badges, and processes to verify that personnel in the CDE are clearly identified.
Observe processes to verify that access to
9.3.1.c the identification process, such as a badge system, is limited to authorized personnel.","Requirements for access to the physical CDE are defined and enforced to identify and authorize personnel.","","Locking console login screens prevents unauthorized persons from gaining access to sensitive information, altering system configurations, introducing vulnerabilities into the network, or destroying records.
Purpose
Establishing procedures for granting, managing, and removing access when it is no longer needed ensures non-authorized individuals are prevented from gaining access to areas containing cardholder data. In addition, it is important to limit access to the actual badging system and badging materials to prevent unauthorized personnel from making their own badges and/or setting up their own access rules.","It is important to visually identify the personnel that are physically present, and whether the individual is a visitor or an employee.","One way to identify personnel is to assign them badges.","",""
"9.3.1.1","9","9.3",".1.1 Physical access to sensitive areas within the CDE for personnel is controlled as follows: • Access is authorized and based on individual job function. • Access is revoked immediately upon termination. • All physical access mechanisms, such as keys, access cards, etc., are returned or disabled upon termination.","Physical access to sensitive areas within the
CDE for personnel is controlled as follows: • Access is authorized and based on individual job function. • Access is revoked immediately upon termination. • All physical access mechanisms, such as keys, access cards, etc., are returned or disabled upon termination.","9.3.1.1.a
Observe personnel in sensitive areas within the CDE, interview responsible personnel, and examine physical access control lists to verify that: • Access to the sensitive area is authorized. • Access is required for the individual's job function.
Observe processes and interview
9.3.1.1.b personnel to verify that access of all personnel is revoked immediately upon termination.
9.3.1.1.c
For terminated personnel, examine physical access controls lists and interview responsible personnel to verify that all physical access mechanisms (such as keys, access cards, etc.) were returned or disabled.","Sensitive areas cannot be accessed by unauthorized personnel.","","Controlling physical access to sensitive areas helps ensure that only authorized personnel with a legitimate business need are granted access.","Where possible, organizations should have policies and procedures to ensure that before personnel leaving the organization, all physical access mechanisms are returned, or disabled as soon as possible upon their departure. This will ensure personnel cannot gain physical access to sensitive areas once their employment has ended.","","",""
"9.3.2","9","9.3","","Procedures are implemented for authorizing

and managing visitor access to the CDE, including: • Visitors are authorized before entering. • Visitors are escorted at all times. • Visitors are clearly identified and given a badge or other identification that expires. • Visitor badges or other identification visibly distinguishes visitors from personnel. • Visitor badges or identification easily distinguish visitors from personnel.","Examine documented procedures and
9.3.2.a interview personnel to verify procedures are defined for authorizing and managing visitor access to the CDE in accordance with all elements specified in this requirement.
Observe processes when visitors are
9.3.2.b present in the CDE and interview personnel to verify that visitors are: • Authorized before entering the CDE. • Escorted at all times within the CDE.
Observe visitors in the CDE to verify that:
9.3.2.d • Visitor badges or other identification are being used for all visitors.
Examine visitor badges or other
9.3.2.e identification and observe evidence in the badging system to verify visitor badges or other identification expires.","Requirements for visitor access to the CDE are defined and enforced. Visitors cannot exceed any authorized physical access allowed while in the
CDE.","","Visitor controls are important to reduce the ability of unauthorized and malicious persons to gain access to facilities and potentially to cardholder data.
Visitor controls ensure visitors are identifiable as visitors so personnel can monitor their activities, and that their access is restricted to just the duration of their legitimate visit.
Observe the use of visitor badges or other
9.3.2.c identification to verify that the badge or other identification does not permit unescorted access to the CDE.","","","",""
"9.4.1","9","9.4","Media with cardholder data is securely stored, accessed, distributed, and destroyed.","All media with cardholder data is physically

secured.","9.4.1. Examine documentation to verify that the procedures defined for protecting cardholder data include controls for physically securing all media.
9.4.1.1.a
Examine documentation to verify that procedures are defined for physically securing offline media backups with cardholder data in a secure location.
9.4.1.1.b
Examine logs or other documentation and interview responsible personnel at the storage location to verify that offline media backups are stored in a secure location.
Defined Approach Testing Procedures
Examine documentation to verify that
9.4.1.2.a procedures are defined for reviewing the security of the offline media backup location(s) with cardholder data at least once every 12 months.
Examine documented procedures, logs,
9.4.1.2.b or other documentation, and interview responsible personnel at the storage location(s)
to verify that the storage location's security is reviewed at least once every 12 months.","The security controls protecting offline backups are verified periodically by inspection.","","while it is on removable or portable media, printed out, or left on someone's desk.
Purpose
If stored in a non-secured facility, backups containing cardholder data may easily be lost, stolen, or copied for malicious intent.","For secure storage of backup media, a good practice is to store media in an off-site facility, such as an alternate or backup site or commercial storage facility.
Purpose
Conducting regular reviews of the storage facility enables the organization to address identified security issues promptly, minimizing the potential risk. It is important for the entity to be aware of the security of the area where media is being stored.","","",""
"9.4.2","9","9.4","","All media with cardholder data is classified in

accordance with the sensitivity of the data.","Examine documentation to verify that
9.4.2.a procedures are defined for classifying media with cardholder data in accordance with the sensitivity of the data.
9.4.2.b
Examine media logs or other documentation to verify that all media is classified in accordance with the sensitivity of the data.
Defined Approach Testing Procedures
9.4.3.a
Examine documentation to verify that procedures are defined for securing media sent outside the facility in accordance with all elements specified in this requirement.
Examine offsite tracking logs for all media
9.4.3.c to verify tracking details are documented.","Media is secured and tracked when transported outside the facility.","","Media not identified as confidential may not be adequately protected or may be lost or stolen.","It is important that media be identified such that its classification status is apparent. This does not mean however that the media needs to have a
""confidential"" label.
Purpose
Media may be lost or stolen if sent via a non trackable method such as regular postal mail. The use of secure couriers to deliver any media that contains cardholder data allows organizations to use their tracking systems to maintain inventory and location of shipments.
Interview personnel and examine records
9.4.3.b to verify that all media sent outside the facility is logged and sent via secured courier or other delivery method that can be tracked.","","",""
"9.4.4","9","9.4","","Management approves all media with

cardholder data that is moved outside the facility
(including when media is distributed to individuals).","Examine documentation to verify that
9.4.4.a procedures are defined to ensure that media moved outside the facility is approved by management.
9.4.4.b
Examine offsite media tracking logs and interview responsible personnel to verify that proper management authorization is obtained for all media moved outside the facility (including media distributed to individuals).
Defined Approach Testing Procedures
9.4.5.a Examine documentation to verify that procedures are defined to maintain electronic media inventory logs.
9.4.5.b
Examine electronic media inventory logs and interview responsible personnel to verify that logs are maintained.","Accurate inventories of stored electronic media are maintained.","Individuals approving media movements should have the appropriate level of management authority to grant this approval. However, it is not specifically required that such individuals have ""manager"" as part of their title.
Defined Approach
Requirements
9.4.5
Inventory logs of all electronic media with cardholder data are maintained.","Without a firm process for ensuring that all media movements are approved before the media is removed from secure areas, the media would not be tracked or appropriately protected, and its location would be unknown, leading to lost or stolen media.
Purpose
Without careful inventory methods and storage controls, stolen or missing electronic media could go unnoticed for an indefinite amount of time.","","","",""
