term,definition,sources,source_anchor
Network Security,"Consists of security services that allocate network access, distribute, monitor, and protect network services",Defined Categories of Service 2011 : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#network-security
Network Segmentation,"Splitting a network into sub-networks, for example, by creating separate areas on the network which are protected by firewalls configured to reject unnecessary traffic. Network segmentation minimizes the harm of malware and other threats by isolating it to a limited part of the network.",SDPs provide network segmentation policies using gateways and in addition the segments behind the gateways will block connections and not respond to any requests from clients until they have provided an authentic SDP. | https://www.nist.gov/itl/smallbusinesscyber/cybersecurity-basics/glossary | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#network-segmentation
Network Services,"Concerned with managing the security risks posed by the network environment. Controls at this level include proper network segmentation (for example, assets used by organization A are not visible to organization B) and provision of basic network services such as an accurate and traceable time standard.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#network-services
Network Virtualization,"Concerned with providing appropriate virtual network services. Controls at this level assure that the virtual network implements proper isolation (see ‘segmentation’ above), required connectivity and proper access controls.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#network-virtualization
Networks,Compliance testing against a series of points or nodes interconnected by communication paths. Networks can interconnect with other networks and contain subnetworks.,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#networks
Next Generation Firewall (NGFW),"Deep-packet inspection firewalls that move beyond port/protocol inspection and blocking to add application-level inspection, intrusion prevention, and bringing intelligence from outside the firewall. An NGFW should not be confused with a stand-alone network intrusion prevention system (IPS), which includes a commodity or non enterprise firewall, or a firewall and IPS in the same appliance that are not closely integrated.","SDPs can sit behind the NGFWs and look for specific SPA packets prior to allowing authorized connections to services behind the firewall; thus, explicitly allowing authorized connections. | https://www.gartner.com/en/information-technology/glossary/next-generation-firewalls-ngfws | https://downloads.cloudsecurityalliance.org/assets/research/sdp/SDP-glossary.pdf",https://cloudsecurityalliance.org/cloud-security-glossary#next-generation-firewall-ngfw
Next-generation firewall (NGFW),"The distinguishing feature of NGFW is application data awareness. It can look at data not only at layers 3 and 4 of an Open Systems Interconnection (OSI) stack but also at layer 7 – the application level. Its capabilities extend beyond packet filtering and stateful inspection. There are multiple deployment options available for NGFWs, such as an appliance in the data center, as a software running in a VM in a cloud, or as a cloud service (FWaaS). Some capabilities of NGFW include: a. Deep Packet Inspection (DPI) b. TLS decryption and inspection of packet payload c. Intrusion prevention system (IPS) feature",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-215.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#next-generation-firewall-ngfw
Nodes,Point at which terminals are given access to a network.,https://www.isaca.org/resources/glossary#glossn,https://cloudsecurityalliance.org/cloud-security-glossary#nodes
Noise Source,"A system the produces non-deterministic random numbers. The noise source contains the non-deterministic, entropy-producing activity [NIST].","[NIST] M. S. Turan, E. Barker, J. Kelsey, K. A. McKay, M. L. Baish and M. Boyle. Recommendation for the Entropy Sources Used for Random Bit Generation (Second DRAFT). NIST Special Publication 800-90B, 2016.",https://cloudsecurityalliance.org/cloud-security-glossary#noise-source
Non-Human Identity,"A non-human identity refers to an identity that is not associated with a human user. This could include an identity associated with an automated process or service, such as a script or an application. Non-human identities are often used to perform tasks that are not performed by human users, such as running a scheduled task or accessing a web service. They also can be used in cases like Internet of Things devices or other machines that can interact with systems with certain permissions.",https://nvlpubs.nist.gov/nistpubs/specialpublications/nist.sp.800-63a.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#non-human-identity
Non-Person Entity (NPE),"An entity with a digital identity that acts in cyberspace, but is not a human actor. This can include organizations, hardware devices, software applications, and information artifacts.",https://csrc.nist.gov/glossary/term/non_person_entity,https://cloudsecurityalliance.org/cloud-security-glossary#non-person-entity-npe
Non-deterministic Polynomial time (NP),This is a complexity class of decision problems in which affirmations (occurrences where the answer is “yes”) can be verified in deterministic polynomial-time.,Quantum Safe Security Glossary : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#non-deterministic-polynomial-time-np
Non-deterministic Polynomial-time Hardness (NP-Hard),Computational problems can be classified in function of their (intrinsic) hardnesses. NP-hard problems are at least as hard as the hardest problem in Non-deterministic Polynomial time (NP). An efficient algorithm for solving any NP-hard problem would lead to an efficient algorithm for all problems in NP. A fundamental assumption of quantum-resistant cryptography is that no NP-hard problem can be solved in deterministic polynomial-time in the classical and quantum setting.,Quantum Safe Security Glossary : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#non-deterministic-polynomial-time-hardness-np-hard
NonProduction Data,"For testing and development purposes in non-production environments, test data should be generated to not host live data in environments with fewer controls. When live data must be used, it should be masked or tokenized to de-identify the personal information it contains.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#nonproduction-data
Nonce,"A limited or single-use, typically small value used as an initialization, seed or other special-purpose value.",https://www.isaca.org/resources/glossary#glossz,https://cloudsecurityalliance.org/cloud-security-glossary#nonce
OAuth 2.0,"OAuth is an IETF standard for authorization that is very widely used for web services (including consumer services). OAuth is designed to work over HTTP and is currently on version 2.0, which is not compatible with version 1.0. To add a little confusion to the mix, OAuth 2.0 is more of a framework and less rigid than OAuth 1.0, which means implementations may not be compatible. It is most often used for delegating access control/authorizations between services.",https://downloads.cloudsecurityalliance.org/assets/research/security-guidance/security-guidance-v4-FINAL.pdf?_ga=2.225992666.1359049959.1661450515-2107700575.1655484199,https://cloudsecurityalliance.org/cloud-security-glossary#oauth-2-0
OAuth 2.0,"OAuth 2.0 is a flexible framework for securing application access to protected resources through APIs. OAuth allows you to decouple clients and resources from the business processes and policy decisions used to authorize access. It’s truly a framework, though, which means that it gives you a structure, but you ultimately must make the decisions about how to authorize access.",https://www.pingidentity.com/en/resources/blog/post/setting-oauth- security-policies-secure-access.html,https://cloudsecurityalliance.org/cloud-security-glossary#oauth-2-0
OS Virtualization,The capability to have a virtual workspace where different operating systems can be installed based on customer needs.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#os-virtualization
OT (Operational Technology),"Operational technology (OT) is hardware and software that detects or causes a change, through the direct monitoring and/or control of industrial equipment, assets, processes and events",https://www.gartner.com/en/information-technology/glossary/operational-technology-ot,https://cloudsecurityalliance.org/cloud-security-glossary#ot-operational-technology
OTP,"One Time Password (OTP) is a valid password for a short period (e.g., only one login session or transaction) and is aimed at avoiding several shortcomings associated with traditional static passwords. One of the most popular approaches for generating OTPs is time-synchronization between the authentication server and the client. OTP implementations are often used in two-factor authentication solutions where the user enters a pin used as a variable in an algorithm that generates evidence of identity sent to an enforcement agent that determines if the identity is valid.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#otp
Object storage,"With respect to cloud-based storage, designed to store and retrieve large amounts of unstructured data, such as documents, images, videos, and backups. It provides a simple application programming interface (API) for storing and accessing objects identified by unique keys. Object storage is highly scalable and durable, making it suitable for various use cases like backup, archiving, and serving static website content",https://cloud.google.com/learn/what-is-object-storage,https://cloudsecurityalliance.org/cloud-security-glossary#object-storage
Objectives,Measurable objectives for services and their delivery used in assessing performance versus a service level agreement.,Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#objectives
Obligation,"In XACML, an obligation is a directive from the Policy Decision Point to the Policy Enforcement Point on what action must be completed before or after an access is granted.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#obligation
On-Premises,Refers to computers and software installed at an organization’s facility rather than at a remote location or in the cloud.,Disaster Recovery as a Service : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#on-premises
On-demand self-service,"A CSC can unilaterally request cloud resources on demand for automatic provisioning by the CSP and computing capabilities, such as computing time and network storage, as needed without requiring human interaction with each CSP.",https://www.isaca.org/resources/glossary#glosso,https://cloudsecurityalliance.org/cloud-security-glossary#on-demand-self-service
Online Certificate Status Protocol (OCSP),An online protocol used to determine the status of a public key certificate.,https://csrc.nist.gov/glossary/term/online_certificate_status_protocol,https://cloudsecurityalliance.org/cloud-security-glossary#online-certificate-status-protocol-ocsp
Open Policy Agent (OPA),"Embraces policy-as-code, complete with tools that help people use and understand the policies they put in place for infrastructure as code (IaC) environments as we as Integrated development environments.",https://www.openpolicyagent.org/,https://cloudsecurityalliance.org/cloud-security-glossary#open-policy-agent-opa
Open Systems Interconnection (OSI),Qualifies standards for the exchange of information among systems that are “open” to one another for this purpose by virtue of their mutual use of applicable standards.,https://www.ecma-international.org/wp-content/uploads/s020269e.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#open-systems-interconnection-osi
Open-Source Intelligence (OSINT),"Intelligence produced by collecting, evaluating and analyzing publicly available information with the purpose of answering a specific intelligence question.",https://www.sans.org/blog/what-is-open-source-intelligence/,https://cloudsecurityalliance.org/cloud-security-glossary#open-source-intelligence-osint
OpenID Connect,OpenID is a standard for federated authentication that is very widely supported for web services. It is based on HTTP with URLs used to identify the identity provider and the user/ identity (e.g. identity.identityprovider.com). The current version is OpenID Connect 1.0 and it is very commonly seen in consumer services.,https://downloads.cloudsecurityalliance.org/assets/research/security-guidance/security-guidance-v4-FINAL.pdf?_ga=2.225992666.1359049959.1661450515-2107700575.1655484199,https://cloudsecurityalliance.org/cloud-security-glossary#openid-connect
Operational Expenditure (OPEX),"Operational Expenditure (OPEX) refers to the ongoing costs for running a product, business, or system. In the context of IT, OPEX includes expenses related to the day-to-day functioning of IT services, such as salaries, utilities, maintenance, and consumables. OPEX is crucial for the continuous operation and support of IT services and infrastructure​.",https://www.investopedia.com/ask/answers/112814/whats-difference-between-capital-expenditures-capex-and-operational-expenditures-opex.asp,https://cloudsecurityalliance.org/cloud-security-glossary#operational-expenditure-opex
Operational Budgeting,"The planning process used to determine day to day investments such as Maintenance of existing services and infrastructure, applications, among other associated elements that allow the organization to operate. Usually, the Chargeback process is used to distribute these costs across medium to large organizations.",Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#operational-budgeting
Operational Changes,A type of planned change resulting from ongoing maintenance activities of existing services.,Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#operational-changes
Operational Risk Committee,Ensures that operational considerations are given to all identified business risks. It is not possible to adequately prioritize risk unless true operational considerations are considered.,Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#operational-risk-committee
Operational Risk Management,"Operational Risk Management provides a holistic perspective for risk evaluation from the business perspective, using the risk management framework will help to have insight into risks and threats to the organization, as well the framework will provide means to assess, manage, and control the different risks across the organization. The use of an Operational Risk Committee (ORC) should be in place to periodically discuss the threat and compliance landscape that the organization has throughout time. Usually, the participants for this committee are conformed by the business (i.e., CEO, COO, CIO, CFO), compliance (CRO, Compliance Officers), and Control personnel (Audit, Security, and Risk Management). The use of Business Impact Assessment methodologies will help the organization identify which processes are critical for the organization and plan accordingly to protect them, ensure proper continuity plans and measure the associated risk using Key Risk Indicators. Key Risk Indicators can be monitored periodically through a Risk Scorecard, integrating information from Security Monitoring Services or information consolidated on the Information Services Domain.",Enterprise Architecture Reference Guide v2 : CSA : Business Operation Support Services (BOSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#operational-risk-management
Operational Security Baselines,"A baseline specifies a policy compliant starting point that may be further specialized (e.g., a move to production process may include a baseline configuration that requires all default users/passwords, SNMP community names, etc. be changed from their default values before the equipment may be used in production. If the equipment were subject to additional hardening, such as deployment in the DMZ, further specialized baselines would apply).",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#operational-security-baselines
Operational-Level Agreement (OLA),"An operational-level agreement (OLA) defines the interdependent relationships among the internal support groups of an organization working to support a service-level agreement (SLA). The agreement describes each internal support group’s responsibilities toward other support groups, including the process and timeframe for delivery of their services. The OLA’s objective is to present a clear, concise, and measurable description of the service provider’s internal support relationships.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Information Services,https://cloudsecurityalliance.org/cloud-security-glossary#operational-level-agreement-ola
Operator,"The individual or organization responsible for the set of processes to deploy and manage IT services. They ensure the smooth functioning of the infrastructure and operational environments that support application deployment to internal and external customers, including the network infrastructure, server and device management, computer operations, IT infrastructure library (ITIL) management, and help desk services.",Cloud Security Alliance. Challenges in Securing Application Containers and Microservices Integrating Application Container Security Considerations into the Engineering of Trustworthy Secure Systems (Cloud Security Alliance: 2019) 42,https://cloudsecurityalliance.org/cloud-security-glossary#operator
Orchestration,"Orchestration in cloud computing involves the automated arrangement, coordination, and management of complex computer systems, middleware, and services. It ensures that workflows and processes are executed efficiently across multiple systems, often utilizing tools that automate the deployment, scaling, and operation of applications. This helps in managing dependencies, scaling resources, and optimizing performance in a cloud environment.",https://www.sumologic.com/glossary/cloud-orchestration/,https://cloudsecurityalliance.org/cloud-security-glossary#orchestration
Organization,"With respect to cloud deployments, denotes the highest level of structure within a cloud provider, equivalent to an Organization in AWS or GCP, or a Tenant in Azure.",https://www.isaca.org/resources/glossary#glosso,https://cloudsecurityalliance.org/cloud-security-glossary#organization
Orphan Incident Management,"Identification of incidents that do not have a current owner, so that appropriate resources can be engaged to resolve the problems.",Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#orphan-incident-management
Out of the Box (OTB) Authentication,A method for implementing user login functionality in the applications through the identity provider’s service without custom authentication code.,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#out-of-the-box-otb-authentication
Out-of-Vocabulary,"Words that a language model has not encountered during its training phase. These could be new words, rare words, or words from languages that the model was not trained on. The challenge with OOV words is that since the model has no prior knowledge of these words, it struggles to interpret them and their context, leading to potential inaccuracies in understanding and generating language.",https://www.chatgptguide.ai/2024/03/01/what-is-out-of-vocabulary-oov-words-llms-explained/,https://cloudsecurityalliance.org/cloud-security-glossary#out-of-vocabulary
Overlay Network,"With respect t odocker networking, Overlay networks allow containers running on different hosts to communicate seamlessly. This is achieved by creating a distributed network across multiple hosts using VXLAN or IPSec tunnels. Overlay networks are commonly used in multi-host Docker deployments.",https://docs.docker.com/network/drivers/overlay/,https://cloudsecurityalliance.org/cloud-security-glossary#overlay-network
Owner,"In a cloud deployment registry, the business owner responsible for each cloud environment. This ensures accountability, responsibility, and clear lines of communication for decision-making and resource allocation.",https://www.isaca.org/resources/glossary#glosso,https://cloudsecurityalliance.org/cloud-security-glossary#owner
PAC (Programmable Automation Controllers),A programmable automation controller (PAC) is a term used to describe any type of automation controller that incorporates higher-level instructions.,"A PAC makes it possible to provide more complex instructions to automated equipment, enabling similar capabilities as that of PCbased controls, in an all-in-one package, like a programmable logic controller (PLC). | Higher-end PLCs with increased capabilities are often marketed as PAC. | https://whatis.techtarget.com/definition/programmable-automation-controller-PAC",https://cloudsecurityalliance.org/cloud-security-glossary#pac-programmable-automation-controllers
PCS (Process Control System),"Process control systems (PCS) — sometimes called industrial control systems (ICS) — function as pieces of equipment along the production line during manufacturing that tests the process in a variety of ways, and returns data for monitoring and troubleshooting. Many types of process control systems exist, including supervisory control and data acquisition (SCADA), programmable logic controllers (PLC), or distributed control systems (DCS), and they work to gather and transmit data obtained during the manufacturing process",https://www.thebalancesmb.com/process-control-systems-pcs-2221184,https://cloudsecurityalliance.org/cloud-security-glossary#pcs-process-control-system
PERA (Purdue Enterprise Reference Architecture),"PERA is a structure with which to design enterprise architectures. It includes a generalized model of the life cycle of an enterprise, and a methodology for planning the evolution of the enterprise. The PERA methodology is unique, in that it: 1. Specifically addresses the human and organizational aspects of the enterprise. 2. It is designed to address all phases of an enterprise from planning, to operations and renewal. 3. Integrates facility engineering and IT systems development methodologies 4. Addresses both process industries and discrete manufacturing (PERA). This model can be used for a variety of purposes including ICS Kill Chain Analysis (SANS) as well as ICS Network Segmentation Analysis (SEQ).",http://www.pera.net/ and https://www.sans.org/reading-room/whitepapers/ICS/industrial-control-system-cyber-kill-chain-36297 Page 13 and: https://seqred.pl/en/ot_network_segmentation/,https://cloudsecurityalliance.org/cloud-security-glossary#pera-purdue-enterprise-reference-architecture
PLC (Programmable Logic Controllers),"A solid-state control system with a user-programmable memory to store instructions for the purpose of implementing specific functions such as I/O control, logic, timing, counting, three mode (PID) control, communication, arithmetic, and data and file processing.",NIST SP 800-82r2 https://csrc.nist.gov/publications/detail/sp/800-82/rev-2/final,https://cloudsecurityalliance.org/cloud-security-glossary#plc-programmable-logic-controllers
PROTECT (PR),"In the NIST Cybersecurity Framework (CSF), the process that is used as safeguards to prevent or reduce cybersecurity risk.",https://www.nist.gov/cyberframework/protect,https://cloudsecurityalliance.org/cloud-security-glossary#protect-pr
Paravirtualization,A virtualized operating system where the source code for the guest operating system is modified to run specifically as a guest operating system instead of a binary equivalent of the original hardware-targeted operating system.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#paravirtualization
Pass-The-Hash,"Adversaries may “pass the hash” using stolen password hashes to move laterally within an environment, bypassing normal system access controls. Pass the hash (PtH) is a method of authenticating as a user without having access to the user’s cleartext password. This method bypasses standard authentication steps that require a cleartext password, moving directly into the portion of the authentication that uses the password hash.",https://attack.mitre.org/techniques/T1550/002/,https://cloudsecurityalliance.org/cloud-security-glossary#pass-the-hash
Pass-The-Ticket,"Adversaries may “pass the ticket” using stolen Kerberos tickets to move laterally within an environment, bypassing normal system access controls. Pass the ticket (PtT) is a method of authenticating to a system using Kerberos tickets without having access to an account’s password. Kerberos authentication can be used as the first step to lateral movement to a remote system.",https://attack.mitre.org/techniques/T1550/003/,https://cloudsecurityalliance.org/cloud-security-glossary#pass-the-ticket
Password,"A string of characters (letters, numbers, and other symbols) used to authenticate an identity or to verify access authorization.","https://csrc.nist.gov/glossary/term/password#:~:text=memorized%20 secret%20show%20sources,or%20to%20verify%20access%20 authorization",https://cloudsecurityalliance.org/cloud-security-glossary#password
Password Management,"The process to specify multiple password policies, define password composition constraints, maintain password history, restrict passwords, configure password validity period, create password rules, etc.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#password-management
Password Spray,"Password spraying is a type of brute force attack. In this attack, an attacker will brute force logins based on a list of usernames with default passwords on the application. For example, an attacker will use one password (say, Secure@123) against many different accounts on the application to avoid account lockouts that would normally occur when brute forcing a single account with many passwords. This attack can be found commonly where the application or admin sets a default password for the new users.","https://owasp.org/www-community/attacks/Password_Spraying_ Attack#:~:text=Password%20spraying%20is%20a%20type,default%20 passwords%20on%20the%20application",https://cloudsecurityalliance.org/cloud-security-glossary#password-spray
Password Vaulting,A software based solution to securely store and manage multiple passwords.,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#password-vaulting
Passwordless Authentication,"Passwordless authentication is signing into a service without using a password. This is often done with certificates, security tokens, one-time passwords (OTPs), or biometrics. Passwordless authentication is generally considered more secure than using passwords.",https://www.techtarget.com/searchsecurity/definition/passwordless- authentication,https://cloudsecurityalliance.org/cloud-security-glossary#passwordless-authentication
Patch Management,"Concerned with assuring that required software fixes are applied in a controlled and timely fashion within the infrastructure. This includes both inventorying the services (operating systems, applications, embedded software, etc.) actually present in the infrastructure to identify the applicability of a particular fix and monitoring the infrastructure to assure that required fixes are actually present and installed.",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#patch-management
Peer-to-Peer (P2P),Peer-to-Peer (P2P) applications allow users within an enterprise to connect directly to each other to exchange instant messages or files.,Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#peer-to-peer-p2p
Penetration Testing,"A method of evaluating the security of a computer system or network by simulating an attack from malicious outsiders (who do not have an authorized means of accessing the organization’s systems) and malicious insiders (who have some level of authorized access), also referred as pentest.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#penetration-testing
Persona,A user-centric view to help understand how different user types interact with the system. It represents a category of users with similar characteristics and leads to the development of roles.,https://csrc.nist.gov/glossary/term/persona,https://cloudsecurityalliance.org/cloud-security-glossary#persona
Personally identifiable information (PII),"Information that can be used to distinguish or trace an individual’s identity—such as name, social security number, biometric data records—either alone or when combined with other personal or identifying information that is linked or linkable to a specific individual (e.g., date and place of birth, mother’s maiden name, etc.).",https://csrc.nist.gov/glossary/term/personally_identifiable_information,https://cloudsecurityalliance.org/cloud-security-glossary#personally-identifiable-information-pii
Phishing,"A technique for attempting to acquire sensitive data, such as bank account numbers, through a fraudulent solicitation in email or on a web site, in which the perpetrator masquerades as a legitimate business or reputable person.",https://csrc.nist.gov/glossary/term/phishing,https://cloudsecurityalliance.org/cloud-security-glossary#phishing
Physical Authentication,"The process of verifying an asserted identity by physical means (e.g., a security guard verifying the photograph on an ID as matching the person providing it).",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#physical-authentication
Physical Inventory,This process tracks all the physical components across the Information Technology organization. Also tracks the ownership and custody for these assets.,Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#physical-inventory
Physical Security,"Concerned with mitigating physical threats to a facility and its employees (e.g., fire suppression equipment and regular fire drills).",Enterprise Architecture Reference Guide v2 : CSA : Technology Solution Services (TSS) Domain - Infrastructure Services,https://cloudsecurityalliance.org/cloud-security-glossary#physical-security
Plan Management,The overall process for assuring that the DRP is continuously updated to reflect changes in the business and its critical functions.,Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#plan-management
Planned Changes,Planned changes are changes that are identified well in advance of their needed implementation. These changes are carefully thought through and fully documented.,Enterprise Architecture Reference Guide v2 : CSA : Information Technology Operation & Support (ITOS) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#planned-changes
Platform as a Service (PaaS),"abstracts and provides platforms, such as application platforms (e.g., a place to develop and run code), databases, file storage, and collaborative environments. Other examples include application processing environments for machine learning, big data processing or API access to SaaS functions. The key differentiator is that, with PaaS, the CSC does not manage the underlying infrastructure.",https://csrc.nist.gov/glossary/term/platform_as_a_service,https://cloudsecurityalliance.org/cloud-security-glossary#platform-as-a-service-paas
Playbook,"Generic documents, outlining the organization’s approach and worker responsibilities that result in a standard set of operational procedures (playbook) to be used in planning and conducting cybersecurity vulnerability and incident response activity.",https://www.cisa.gov/sites/default/files/2024-03/Federal_Government_Cybersecurity_Incident_and_Vulnerability_Response_Playbooks_508C.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#playbook
PoSSo problem,This is the Non-deterministic Polynomial-time hardness (NP-hard) problem of solving a set of non-linear equations.,Quantum Safe Security Glossary : CSA,https://cloudsecurityalliance.org/cloud-security-glossary#posso-problem
Pod Networking,"With respect to Kubernetes networking, pods are the smallest deployable units and can contain one or more containers. Each pod gets its IP address, and containers within a pod share the same network namespace, allowing them to communicate using localhost. Kubernetes requires a Container Network Interface (CNI) plugin to handle pod networking.",https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-190.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#pod-networking
Point-in-time Assessment (PITA),"A complete, consolidated, and fully integrated reviews that provides assurance activities, giving DevSecOps teams confidence that a significant number of security issues have been addressed during each build.",https://cloudsecurityalliance.org/,https://cloudsecurityalliance.org/cloud-security-glossary#point-in-time-assessment-pita
Policies & Standards,"Security policies are part of a logical abstraction of an Enterprise Security Architecture. They are derived from risk-based business requirements and exist at several different levels including, Information Security Policy, Physical Security Policy, Business Continuity Policy, Infrastructure Security Policies, Application Security Policies, and the overarching Business Operational Risk Management Policy. Security Policies are statements that capture requirements specifying what type of security and how much should be applied to protect the business. Policies typically state what should be done while avoiding reference to particular technical solutions. Security Standards are an abstraction at the component level and are needed to ensure that the many different components can be integrated into systems. There are many internationally recognized standards for security from standards bodies such as ISO, IETF, IEEE, ISACA, OASIS, and TCG. Direction can also be provided in operational security baselines, job aid guidelines, best practices, correlation of regulatory requirements, and role-based awareness. One way to approach security policy and its implementation is to classify information and associate policies with the resulting classes of data.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#policies-standards
Policy,Policy intentions and direction of an organization as formally expressed by its top management.,https://www.iso.org/obp/ui#iso:std:iso:9000:ed-4:v1:en:term:3.5.8,https://cloudsecurityalliance.org/cloud-security-glossary#policy
Policy Administrator,This component is responsible for establishing and/or shutting down the communication path between a subject and a resource (via commands to relevant PEPs).,See also: Policy Engine | https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#policy-administrator
Policy Definition,A phase in authorization services that describe course or fine grained access or constraints to resources.,Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#policy-definition
Policy Enforcement,"A phase in Authorization Services, where access requests are approved or disapproved.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#policy-enforcement
Policy Engine,"This component is responsible for the ultimate decision to grant access to a resource for a given subject. The PE uses enterprise policy as well as input from external sources as input to a trust algorithm to grant, deny, or revoke access to the resource. The PE is paired with the policy administrator component. The policy engine makes and logs the decision (as approved, or denied), and the policy administrator executes the decision.",See also: Policy Administrator | https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-207.pdf,https://cloudsecurityalliance.org/cloud-security-glossary#policy-engine
Policy Management,"A process or platform for centralized policy creation, repository and management. Policy management strives to maintain an organization structure and process that supports the creation, implementation, exception handling, and frameworks that represent business requirements.",Enterprise Architecture Reference Guide v2 : CSA : Security and Risk Management (SRM) Domain,https://cloudsecurityalliance.org/cloud-security-glossary#policy-management
Policy as Code (PaC),"Enables organizations to implement, validate, and measure policies at scale.",https://ieeexplore.ieee.org/document/10162940,https://cloudsecurityalliance.org/cloud-security-glossary#policy-as-code-pac
Policy decision point (PDP),"Mechanism that examines requests to access resources, and compares them to the policy that applies to all requests for accessing that resource to determine whether specific access should be granted to the particular requester who issued the request under consideration.",https://csrc.nist.gov/glossary/term/policy_decision_point,https://cloudsecurityalliance.org/cloud-security-glossary#policy-decision-point-pdp
Policy enforcement point (PEP),A system entity that requests and subsequently enforces authorization decisions.,https://csrc.nist.gov/glossary/term/policy_enforcement_point,https://cloudsecurityalliance.org/cloud-security-glossary#policy-enforcement-point-pep
